entity_id,entity_name,segment,owner
UND001,Underwriting segment 1,Strategic,Customer
UND002,Underwriting segment 2,Watch,Operations
UND003,Underwriting segment 3,Strategic,Product
UND004,Underwriting segment 4,Growth,Analytics
UND005,Underwriting segment 5,Strategic,Revenue
UND006,Underwriting segment 6,Strategic,Operations
UND007,Underwriting segment 7,Core,Revenue
UND008,Underwriting segment 8,Watch,Analytics
UND009,Underwriting segment 9,Growth,Revenue
UND010,Underwriting segment 10,Watch,Analytics
UND011,Underwriting segment 11,Strategic,Product
UND012,Underwriting segment 12,Watch,Customer
UND013,Underwriting segment 13,Strategic,Customer
UND014,Underwriting segment 14,Growth,Operations
UND015,Underwriting segment 15,Core,Product
UND016,Underwriting segment 16,Strategic,Customer
UND017,Underwriting segment 17,Growth,Operations
UND018,Underwriting segment 18,Growth,Product
UND019,Underwriting segment 19,Growth,Analytics
UND020,Underwriting segment 20,Core,Analytics
UND021,Underwriting segment 21,Watch,Operations
UND022,Underwriting segment 22,Growth,Revenue
UND023,Underwriting segment 23,Growth,Operations
UND024,Underwriting segment 24,Core,Product
UND025,Underwriting segment 25,Core,Analytics
UND026,Underwriting segment 26,Watch,Customer
UND027,Underwriting segment 27,Core,Analytics
UND028,Underwriting segment 28,Growth,Product
UND029,Underwriting segment 29,Growth,Product
UND030,Underwriting segment 30,Strategic,Analytics
UND031,Underwriting segment 31,Watch,Analytics
UND032,Underwriting segment 32,Growth,Operations
UND033,Underwriting segment 33,Watch,Customer
UND034,Underwriting segment 34,Core,Operations
UND035,Underwriting segment 35,Core,Revenue
UND036,Underwriting segment 36,Core,Revenue
