segment_id,state,product_line,territory,geography_type,exposure_index,inspection_completion,telematics_eligible,automation_approval_rate,guideline_exception_rate,review_score,recommendation
CA-FR-03,CA,Farm and Ranch,Wildland interface,wildfire,71.2,69.7,29.4,36.1,37.0,98.4,Tighten guideline and inspection trigger
CA-AU-03,CA,Auto,Wildland interface,wildfire,71.2,63.6,49.5,35.9,36.2,85.2,Tighten guideline and inspection trigger
CO-FR-03,CO,Farm and Ranch,Wildland interface,wildfire,61.3,67.3,31.3,46.3,36.2,83.5,Tighten guideline and inspection trigger
CA-FR-04,CA,Farm and Ranch,Mountain and hail belt,weather,63.7,68.4,37.1,44.1,35.3,82.2,Tighten guideline and inspection trigger
CA-HO-03,CA,Home,Wildland interface,wildfire,71.2,70.5,33.6,39.3,39.4,80.1,Tighten guideline and inspection trigger
CO-AU-03,CO,Auto,Wildland interface,wildfire,61.3,67.9,50.1,47.0,37.4,73.4,Tighten guideline and inspection trigger
CA-HO-04,CA,Home,Mountain and hail belt,weather,63.7,71.4,29.3,41.8,36.2,73.2,Tighten guideline and inspection trigger
WY-FR-03,WY,Farm and Ranch,Wildland interface,wildfire,51.4,67.2,35.7,47.7,30.6,71.6,Tighten guideline and inspection trigger
CA-AU-04,CA,Auto,Mountain and hail belt,weather,63.7,74.5,47.5,43.8,34.9,71.2,Tighten guideline and inspection trigger
CO-FR-04,CO,Farm and Ranch,Mountain and hail belt,weather,54.2,69.0,37.2,48.3,28.2,70.7,Tighten guideline and inspection trigger
WA-FR-03,WA,Farm and Ranch,Wildland interface,wildfire,48.9,69.5,37.5,51.5,28.3,65.0,Tighten guideline and inspection trigger
CA-FR-02,CA,Farm and Ranch,Rural farm belt,rural,48.6,72.5,30.2,46.7,27.7,64.8,Route to underwriting review
CO-AU-04,CO,Auto,Mountain and hail belt,weather,54.2,68.9,48.0,45.0,32.0,62.4,Tighten guideline and inspection trigger
CO-HO-03,CO,Home,Wildland interface,wildfire,61.3,71.6,36.8,47.2,31.3,61.8,Tighten guideline and inspection trigger
CO-HO-04,CO,Home,Mountain and hail belt,weather,54.2,66.6,33.2,43.9,31.7,60.6,Tighten guideline and inspection trigger
WY-AU-03,WY,Auto,Wildland interface,wildfire,51.4,70.6,46.6,47.1,26.5,59.8,Tighten guideline and inspection trigger
WY-FR-04,WY,Farm and Ranch,Mountain and hail belt,weather,44.8,74.4,38.3,51.6,28.3,58.8,Tighten guideline and inspection trigger
OR-FR-03,OR,Farm and Ranch,Wildland interface,wildfire,44.0,66.6,35.4,51.3,29.2,58.5,Tighten guideline and inspection trigger
WA-AU-03,WA,Auto,Wildland interface,wildfire,48.9,70.3,52.1,52.1,30.7,56.4,Tighten guideline and inspection trigger
WY-HO-03,WY,Home,Wildland interface,wildfire,51.4,67.8,33.5,46.7,28.4,56.3,Tighten guideline and inspection trigger
WA-HO-03,WA,Home,Wildland interface,wildfire,48.9,64.7,35.7,49.6,28.6,55.1,Tighten guideline and inspection trigger
WA-FR-04,WA,Farm and Ranch,Mountain and hail belt,weather,42.4,67.1,30.4,53.1,22.9,54.9,Tighten guideline and inspection trigger
CA-AU-02,CA,Auto,Rural farm belt,rural,48.6,75.4,46.9,46.9,28.2,53.6,Route to underwriting review
WY-AU-04,WY,Auto,Mountain and hail belt,weather,44.8,67.0,49.9,53.4,28.3,52.7,Tighten guideline and inspection trigger
