segment_id,state,state_name,product_line,territory,geography_type,rate_environment,exposure_index,inspection_completion,telematics_eligible,automation_approval_rate,guideline_exception_rate,baseline_retention,owner
WA-HO-01,WA,Washington,Home,Urban agency corridor,urban,moderate,18.7,87.2,31.2,65.3,11.1,84.4,Product
WA-HO-02,WA,Washington,Home,Rural farm belt,rural,moderate,29.5,75.7,36.9,55.0,16.8,80.7,Underwriting
WA-HO-03,WA,Washington,Home,Wildland interface,wildfire,moderate,48.9,64.7,35.7,49.6,28.6,79.6,Actuarial
WA-HO-04,WA,Washington,Home,Mountain and hail belt,weather,moderate,42.4,75.9,37.2,57.6,26.8,77.5,Claims
WA-AU-01,WA,Washington,Auto,Urban agency corridor,urban,moderate,18.7,88.9,50.3,68.2,12.8,80.4,Underwriting
WA-AU-02,WA,Washington,Auto,Rural farm belt,rural,moderate,29.5,77.0,54.3,60.1,21.1,77.3,Actuarial
WA-AU-03,WA,Washington,Auto,Wildland interface,wildfire,moderate,48.9,70.3,52.1,52.1,30.7,74.5,Claims
WA-AU-04,WA,Washington,Auto,Mountain and hail belt,weather,moderate,42.4,68.4,47.9,49.8,26.0,73.1,IT
WA-FR-01,WA,Washington,Farm and Ranch,Urban agency corridor,urban,moderate,18.7,85.1,29.8,68.0,14.4,83.0,Actuarial
WA-FR-02,WA,Washington,Farm and Ranch,Rural farm belt,rural,moderate,29.5,72.0,33.9,57.3,20.1,81.3,Claims
WA-FR-03,WA,Washington,Farm and Ranch,Wildland interface,wildfire,moderate,48.9,69.5,37.5,51.5,28.3,77.7,IT
WA-FR-04,WA,Washington,Farm and Ranch,Mountain and hail belt,weather,moderate,42.4,67.1,30.4,53.1,22.9,80.3,Compliance
WA-UM-01,WA,Washington,Umbrella,Urban agency corridor,urban,moderate,18.7,84.7,33.5,62.4,17.9,87.8,Claims
WA-UM-02,WA,Washington,Umbrella,Rural farm belt,rural,moderate,29.5,80.9,33.3,57.1,21.3,84.0,IT
WA-UM-03,WA,Washington,Umbrella,Wildland interface,wildfire,moderate,48.9,63.4,35.2,46.5,31.3,81.3,Compliance
WA-UM-04,WA,Washington,Umbrella,Mountain and hail belt,weather,moderate,42.4,73.2,36.5,50.8,25.3,82.3,Product
OR-HO-01,OR,Oregon,Home,Urban agency corridor,urban,moderate,18,83.6,38.8,63.3,13.9,82.2,Underwriting
